census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
3766,1079,111,22530,2031,692,85,2.3,1.7,9.5,3.8,27.3,5,17.5,5,25.7,4.8,6.5,2.6,0.9,0.9,2.6,2.4,7.7,4.3,41365,6284
3767,2135,198,25685,2206,1521,171,1.7,1.7,8.7,3.7,23.4,7.2,29.7,6.7,18,5.2,9.5,3.9,1.1,1.5,3.1,2.2,4.9,2.7,42331,7145
3768,1955,132,25772,2014,1392,123,3.4,1.2,9.2,2.1,22.5,4.6,21.9,3.6,21.4,3.5,12,2.5,4.5,1.9,3.2,1.4,1.9,1.2,36990,2508
3769,1949,154,22270,1190,1459,146,3.1,2.5,13,5.2,37.1,7.8,18.8,4.7,16.9,4.5,7.7,3.3,1.9,1.6,1.1,0.9,0.4,0.5,28711,1901
3770,2030,169,22263,2797,1502,141,4.2,2.2,11.9,3.8,26.8,5.4,25.3,4.2,20.1,3.9,6.4,3.2,1.4,1.2,2.6,1.6,1.4,1.1,31969,2508
9556,702,98,30976,3337,480,77,4.6,2.8,4.6,3.3,10,4.1,24.2,8.2,24.6,6.2,12.1,5.4,4.8,2.9,8.5,4,6.7,3.5,57766,19933
9557,851,104,30399,4101,563,79,6.7,4.9,0.5,0.7,18.7,7.4,15.3,5.1,22.2,6.5,11.9,5,5.2,2.9,9.2,4.8,10.3,5.2,57272,15769
9560,1668,160,16890,3704,775,99,11,4.2,4.4,2.2,18.3,6.8,16.3,5.6,20.9,5.5,13.9,4.5,1.7,1.3,11.1,3.6,2.5,1.6,39690,3282
5876,602,74,24227,1695,389,53,4.4,2.3,5.7,3.8,26.2,5.2,21.1,4.6,21.9,6.2,9.3,4.1,3.3,2.1,3.3,1.9,4.9,2.8,45557,8648
5877,1660,148,21953,3345,970,148,2.6,2.1,6.3,4.1,26.4,6.6,20.4,6.1,18.7,6.1,9.2,4.6,6.9,3.8,7.7,3.8,1.9,2,41628,6773
5878,1510,113,22669,1651,971,107,2.5,1.5,7,2.3,29.1,4.5,21.9,3.8,18.5,4.5,11.5,2.6,3.6,1.8,3.9,1.7,1.9,1.2,37190,3015
5879,1746,138,26667,3317,1123,114,3.7,1.8,7,2.3,16.3,3.5,20.3,4.2,23.8,3.6,14.1,2.9,2.5,1.2,5.4,2.1,6.9,2.4,49689,6233
9516,1188,111,26535,3166,811,90,4.8,2.2,2.8,1.6,19.9,3.8,24.4,6.9,16.3,4.5,14.8,3.7,2.3,1.6,8,3.7,6.7,2.5,47166,4499
9517,702,80,32267,6848,484,66,2.7,2.1,6.8,4.4,12.6,4.9,13,5,21.3,6.2,14,4.4,2.1,1.8,10.5,4.4,16.9,5.6,54838,5485
9518,937,85,32207,4290,681,75,2.2,2.4,5,2.9,17.9,6.6,15.4,6.1,24.7,6.4,17.6,7.3,4.7,2.8,4.4,2.7,8.1,4.4,51415,8137
9661,3445,373,32214,2862,2232,313,1.5,1.8,2.1,2.3,12.9,5.6,22,7.9,26.7,7.8,15.1,5.4,4.8,2.9,7.8,4.2,7,3.9,52095,5770
9662,3734,411,30299,6521,2555,352,2.7,2.7,6.2,4.3,22.5,7,14.4,6.1,18.5,6.1,14.2,5.3,2.5,2.9,8.4,5,10.5,5.7,71986,27376
9665,754,144,31154,7691,506,113,2,2.1,3.6,3.5,13,7.4,19.4,8,16.4,7.7,14.6,6.4,12.5,7.6,13.6,7.4,4.9,3.9,51074,6278
9668,2494,240,31462,2758,1768,212,3.1,2.6,4.2,2.7,14.4,5.5,20,7.2,19.5,6.6,15.3,5.1,6.7,3.6,7.6,4.3,9.2,3.9,50893,5456
9586,679,100,25063,2738,413,83,2.7,2.3,5.6,5.1,24.5,9.4,17.2,7.9,24,7,12.8,5.9,2.4,2.1,5.6,3.1,5.3,3.1,41151,4740
9587,525,82,30439,5155,374,70,1.9,2.1,5.6,5.4,16.8,7.8,23.3,10.5,20.1,8.6,15.5,8,4,3.1,8.3,5.2,4.5,3.7,44021,4828
9588,595,103,26575,3313,384,75,1.6,1.7,2.6,2.6,20.6,8.9,26,11.2,15.1,5.8,14.1,6.7,6.5,4.9,6.3,3.3,7.3,3.8,50137,8449
9589,1808,197,15147,4033,987,149,11.3,5.1,14.4,7.1,12.6,5.7,13.2,4.9,20.6,7,11.7,5.3,3.3,2.8,8.7,5.7,4.3,4.3,37589,5810
9590,606,99,30000,6132,430,80,1.9,2.5,3.3,2.7,24.4,9.5,19.8,6.5,20.5,6.2,13,5.3,5.1,3.2,4.7,3.5,7.4,3.7,48556,6920
7956,1100,110,27125,4091,722,86,2.9,3.1,5.5,2.7,23,6,21.3,6,19.8,4.8,14.8,4.7,4.8,2.8,2.5,2,5.3,3,40051,3886
7957,1636,133,28233,3400,1085,127,2.9,2.1,3,2,26.2,5.6,21.5,4.6,24.8,4.9,10.8,3.5,2.9,1.3,3.4,2.1,4.4,2.8,38828,3191
7959,742,86,28235,3780,508,70,0.4,0.9,6.7,4.8,22.4,5.7,19.3,5.6,25.2,6.4,11,4.4,3.9,2.5,6.7,3.5,4.3,2.7,45269,6806
7960.01,2805,330,30617,4663,2077,296,2.2,2,5.8,3.8,22.1,7.2,15.6,5,20.3,5.7,14.3,5.3,7.1,3.2,7.1,3.1,5.6,2.8,46707,5835
7960.02,2450,184,26004,2284,1585,159,1.8,1.2,3.6,2.1,26.4,5.7,28.8,5,20.7,4.2,8.1,2.5,2.4,1.6,5.2,2.5,3.1,1.8,38144,2838
7961,4447,428,26505,2255,2812,366,1.2,1.3,4.3,2.5,18.9,5.6,18.4,5.8,20.2,6,14.4,4.2,4.2,3.2,11.9,4.6,6.5,3,50792,5977
7962,2023,230,18502,2634,1082,149,2.5,2.5,9.4,5.2,27.1,7,20.5,7,21.8,6.5,8.9,5.4,5.5,2.8,3.7,3.5,0.6,0.8,34157,2655
7963,944,111,20451,2148,544,88,0.6,1,7.2,4.5,30.5,7.8,25.4,8,17.8,6.6,6.4,3.2,4.2,3,4.2,2.7,3.7,2.7,36189,4317
7964,893,100,17014,2333,482,79,6,5.2,16,9.3,28,7.6,28.2,7.4,10.6,5.3,7.5,5.1,1,1.5,2.7,2.6,0,4.1,28165,3269
7965,1023,133,22849,2917,621,108,6.1,4.5,7.2,4.9,21.3,7.2,19.6,6.7,17.4,7.6,17.7,6.3,6.4,5,3.7,2.6,0.5,0.8,36381,3612
7966,2479,281,29635,4210,1502,230,0.4,0.5,4,3.6,18.4,5.1,18.6,5.6,21.8,6.6,10.5,5.6,8.7,4.9,7.3,3.7,10.3,6.1,49721,6966
1616,2954,219,28587,3965,1849,183,1.7,0.7,4.1,1.4,18,3.2,19.9,2.7,22.4,3,14.2,2.5,5.5,1.6,7.5,1.9,6.7,1.5,47501,3146
1617,855,87,27708,3487,592,64,2.9,1.7,2,1.2,21.1,4.4,17.2,4,24,4.5,15.9,4.2,5.9,1.9,5.2,3.1,5.7,2.5,47286,5004
1618,1510,123,21973,2035,1008,112,4.4,2.4,7.8,2.7,27,5.9,17.8,3.9,17.2,3.8,13.4,3.5,3.4,1.8,7.2,3.1,1.9,1,37211,2494
1619,673,73,26536,2393,433,61,4.4,2.7,3.9,2.1,14.8,6.1,17.8,5.7,25.2,7.1,12,4.2,11.1,3.8,9.2,3.7,1.6,2.1,45224,5187
1620,1502,148,30948,1540,1061,132,3.3,1.9,1.8,1.4,11,3.2,29.4,5.3,22.4,4.9,14.4,3.7,3.6,1.7,4.7,2.2,9.3,3.1,47797,3528
1621,3111,290,21579,2665,1952,238,4.6,3,11.9,4.6,24.5,5.8,15.9,4.6,21.6,5.1,13.7,4.9,1.4,1.3,1.3,1.1,5,3.5,44241,12280
1622,1132,144,24605,6793,700,100,0.9,1.3,2.7,2.9,31.9,8.9,18.9,7.8,23.6,8.5,12,4.5,3.3,2.3,4.1,3.1,2.7,2,38671,3647
1623,1161,130,29931,3073,782,120,2.2,1.9,5.5,3.5,16.2,5.2,19.9,6.4,25.7,6.6,15,6,5.2,3.8,6.9,3.9,3.3,2.4,41592,3352
3001,1345,154,28221,4022,865,119,3.6,2.3,3.2,1.9,14,3.8,20.6,4.2,21.5,4,14.5,3.8,6.1,2.4,5.3,2.1,11.2,3.8,50014,3613
3002.01,3202,344,35169,4131,2198,267,0.5,0.9,3.4,3.1,11.8,4.2,14.1,4.3,23.4,6.5,17.4,4.8,6.7,3.2,12,4.2,10.7,3.5,56580,4855
3002.02,2383,188,25521,2147,1614,177,6.2,4.7,6.1,2.9,17,4,15,4.2,23.9,5.6,10.3,3,6.1,2.8,8.3,3.1,7.1,2.6,48091,5801
3003,2031,293,28402,6947,1313,184,0.7,1.2,4,2.7,20.2,9.2,21.2,9.6,29,8.8,12.2,7.2,4.6,3,3.4,2.8,4.6,3.8,41347,4676
3004,534,160,19712,5046,357,121,9.5,10.3,4.8,5.5,31.9,14.9,18.8,11.9,17.6,14,9.5,8.5,0,5.4,7.8,8.6,0,5.4,31848,6632
3005,1861,270,22969,4417,1250,236,1.3,1.7,9.1,7.1,27.2,12.5,19.9,8.4,23.8,6.6,7.1,4.7,2.4,2.2,5.1,3.5,4.1,4,39190,6772
3006,1870,210,32264,4902,1329,154,2.3,2.6,6,4.5,15.4,5.7,16.2,5.9,25.7,7.2,17.5,7.7,2.6,2.6,7.8,5.1,6.5,4.2,46835,5531
3007,3078,306,23393,3449,1835,301,5.9,2.5,6.7,4.1,18.4,5.2,15.5,3.9,20.4,5.4,11.1,3.4,8.3,3.4,7.7,3.7,6,2.6,47713,5172
3008.01,5638,428,38583,5220,4012,375,0.6,0.7,3.8,2.3,12.1,4.3,14.9,4.1,18.2,4.2,16.7,4.1,8.6,3.1,13.6,3.5,11.4,3.5,57272,3934
3008.02,1257,125,37839,5844,866,114,0.5,0.7,4.7,4.4,16.3,7.1,10.5,5.7,22.9,9.8,16.1,6.2,10,5.5,11,4.7,8.1,4.1,55133,5832
3009.01,3813,364,37003,7613,2788,271,2.2,2.5,4.9,4.9,12.3,5.3,17.6,6,27.6,7.3,15.7,4.8,8.1,3.5,6.9,3.7,4.8,3.3,50619,7745
3009.02,1339,129,35570,2049,999,118,0,2,0.5,0.8,15.5,7.6,17.4,6.2,29.5,8.3,19,5.4,8.2,4.8,3.6,2.1,6.2,3.7,47826,4744
3009.04,1946,271,22941,3887,1133,195,4.4,4.2,9.4,5.2,19,7.9,20.1,7.1,18,6.6,12.9,5.7,4.6,3.4,7,4,4.7,3,44840,6992
3009.05,2681,288,39987,5639,1869,227,1.6,1.5,1.1,1.3,6.5,4.2,13.3,4.9,24.1,7.5,20.4,5.9,7.2,3.5,17.7,4.5,8.2,3.3,63835,8218
3010.01,201,109,17788,12108,162,109,4.9,8.8,8,11.8,35.2,22.7,17.3,18.1,17.9,20.8,6.2,11.3,0,11.6,8,12.2,2.5,4.4,N,N
3010.03,3511,303,37062,2494,2553,296,0.4,0.7,1.6,1.4,4.2,2.8,19.9,6.1,40,10,15,4.8,7.1,4.8,4.7,2.5,7.2,4.2,50249,3991
3010.06,1819,174,33925,5038,1281,150,4.2,3.1,2.5,3.2,14.4,5,17.3,6.9,18.1,6.9,21.1,7,6.9,4.4,11.9,6.2,3.5,2.7,46238,3656
3010.07,3427,371,37484,5535,2488,253,1.8,1.7,2.5,2,13.2,5.3,15.7,5.7,29,5.9,15.9,5.2,6.6,3.5,7.8,3.8,7.5,3.7,48630,3530
3010.08,3690,280,42247,5505,2636,242,1.6,1.7,1.3,1.1,5.7,3.6,10.8,4.2,20.6,6.1,27.7,6.2,3.9,2.5,12.7,4.9,15.8,4.7,69536,6706
3010.09,2190,283,41210,8616,1620,226,1.5,1.9,0.4,0.7,8.8,4.6,17.5,6.2,16.9,6.1,22.7,7.8,6.4,3,10.7,5.3,15,7.8,57468,6405
3011,3505,377,35815,3670,2472,303,2.5,2.3,2.9,2,9.9,4.5,15.6,5.8,23.4,5.8,21,7.1,6.4,3.2,7.2,3.7,11.2,4.4,55893,5979
3012.01,1972,180,30583,2218,1485,154,6.3,5.8,3.5,2.8,15.3,4.8,22.2,6.5,27.2,7.4,9.8,4.6,6.9,4.4,4.6,3.3,4.2,3.4,48529,13383
3012.02,1479,152,30740,3323,1021,126,1.7,2,8.1,5.3,17,7.9,20,6.2,18.7,5.7,13.2,4.6,9.3,4.5,7.6,3.9,4.3,3.3,43610,5155
3013,2932,258,38381,5034,1897,242,3.3,2.8,2.8,1.7,8.4,4.1,15.9,4.3,14.9,4.2,9.1,3.2,8.2,3.8,14.5,4.4,22.9,4.6,70564,6158
3014.06,3103,203,37045,3566,2308,203,6.2,4.7,4.9,3.3,12,6,11,4.1,24.9,6.2,18.7,5,6.1,3.4,8.5,3.6,7.8,3.6,51613,6286
3014.07,3160,211,31983,5006,1889,189,1.4,2.1,3,2.1,10,3.7,15.1,5.6,19.4,4.8,14.9,4.9,8.6,3,18.9,5,8.7,3.6,55961,4415
3014.08,961,127,35256,2549,664,100,2.1,2.4,1.1,1.5,14.5,6.3,13.9,5.9,25.6,8.2,13.9,6.1,8.7,5,11.1,5.4,9.2,5.4,54011,6450
3014.09,1711,186,35153,4548,1285,171,1.6,1.9,3.9,2.9,7.6,4.1,22,7.9,31.8,8.8,13.9,5,12.1,9.7,3.4,3,3.7,3.7,44765,4092
3014.1,2749,290,36546,7267,1973,199,0,1,0.6,0.9,15.4,6.2,17.4,5.5,20.4,6.2,21.4,7.6,5.6,2.9,13.2,5.1,6,3.2,51922,3688
8921,1053,116,30250,2153,825,90,1.9,1.6,5.7,3,16.1,4.3,26.1,7,18.9,5.2,18.3,5.4,2.9,2,4.1,2.4,5.9,2.9,43707,3685
8922,596,77,29423,5389,433,73,2.8,2.5,3.9,2.9,24.7,6.4,17.6,5.6,27.9,5.8,9.5,3.7,4.8,2.8,3,2.4,5.8,2.9,40976,3449
8923,1434,110,29605,5017,1128,107,1.2,1.4,7.4,4.7,22.9,6.4,16.5,4.5,21.2,5.3,19.1,5.2,3.2,1.9,4.9,2.5,3.7,2.3,40780,3866
8924,1588,140,30376,3013,1148,116,4.4,3.1,2.9,1.6,22,4.3,16.6,3.5,23.5,4,16.1,3.8,2.3,1.4,7.5,2.4,4.8,2.1,47358,7081
8925,4474,352,30572,2844,3265,288,2.5,1.6,2.4,1.8,19.4,4.5,21.1,4.4,15.1,4,20.7,4.5,5,2,9,3.1,4.7,2.1,48984,4910
8926,2913,259,29583,4852,2033,258,1.5,1.5,4.3,2.8,21,5.6,15.7,5.9,18.7,6.1,18.8,6.5,7.9,3.7,7.4,4.2,4.7,2.8,47495,4608
8927,2467,175,29086,3195,1677,188,3.3,1.9,4.8,2.3,17.2,5.4,17.9,3.9,18.2,4.4,19.2,4.3,6.4,2.3,8.5,2.8,4.6,2.1,45401,3485
8928,2044,203,20588,1150,1364,165,2.3,2.3,9,3.8,37.1,8.3,20.7,6.6,16,4.7,8.5,4.1,2.1,1.8,1.7,1.6,2.6,1.9,33157,3285
8929,1340,163,23167,4870,890,120,5.7,5.2,5.7,4.5,22.6,7.2,24.7,5.8,20.7,5.6,13,4.3,3.8,1.9,1.5,1.5,2.2,1.8,36355,4134
8930,3581,314,30694,3588,2470,276,0.6,0.9,6.3,3.7,20.1,6.7,14,4.9,23.2,6.2,12.1,5,5,2.6,9.4,3.6,9.4,3.8,52485,5401
8931,1572,213,21661,1724,1079,189,0.7,1.1,17.5,6.2,32.2,7.6,17.8,6,14.3,5.2,9.3,4.5,2.4,2.7,4,2.7,1.9,2,35061,5364
9776,2427,191,24432,2907,1560,125,1.9,1.1,7.3,3.4,21.7,4.5,21.5,4.3,24.5,4.2,12.1,3.3,2.8,1.3,4.7,2.2,3.5,1.9,42407,4693
9777,3143,252,28520,2793,1886,200,2,1.6,3.9,1.7,15.7,4.7,24.8,5.6,25.7,5.1,10.2,3.8,5.5,2.3,6.2,2.9,5.9,2.4,45600,3698
9778,3104,336,25095,3561,1977,298,3.1,2.4,5.5,2.9,22.4,5.8,20.4,5.9,18.2,5.2,13.4,5,5.7,3.6,8.4,3.9,2.8,2.4,40624,3369
9779,3392,373,19801,3150,1993,340,6.3,4.7,5.6,4,29.4,7.7,17.8,5.6,20.3,7.6,9,4.4,3.5,2.6,6,3.5,2.2,1.9,36534,4769
9780,1727,275,20881,2987,975,181,3.3,3.4,2.9,2.2,26.4,8.1,25.4,7.9,21.5,5.5,10.5,5.9,0.7,1.1,7.6,4.4,1.7,1.9,36655,3408
9781,3107,431,20661,5811,1625,279,4.2,2.6,2.9,2.7,20.1,6.1,20.6,9.4,21.2,8.3,14.2,5.5,4,3.6,4.2,2.5,8.7,4.2,46273,5998
9782.01,1195,146,24818,3311,776,120,5.5,4.7,12.4,5.7,20.5,5.6,16.9,5.5,22.8,5.1,8.1,3.5,7.3,3.5,4.3,2.5,2.2,2.1,35633,2973
9782.02,1163,152,26615,2310,808,116,2.4,1.9,7.1,3.5,21,8.2,21.2,6.5,17.9,5.6,13.4,4.2,2.1,1.8,10,5.3,5,3.3,44161,5949
9783,2945,327,25675,2609,1984,263,5.8,4.1,1.2,1.3,27.6,8.1,23.1,5.9,21.4,6.3,10.1,3.7,3.7,2.3,2,2,5.2,3.2,42909,9825
9669,1101,110,27844,3349,783,94,5.2,3,5.6,2.4,21.3,5.2,22.6,4.1,19.2,5.3,15.3,3.9,3.7,2.3,3.3,1.5,3.7,2,38568,2679
9670,1403,133,27484,5003,993,126,2,1.5,5.4,3,22.2,5.4,22.1,5.5,24.3,4.8,8.4,3.7,1,1,7.6,3,7.2,3.2,44016,4140
9671,1229,171,21065,5005,758,128,3.6,2.6,10.9,4.9,21.2,7,18.1,7.5,18.6,7.5,15.4,6.7,5.5,4.9,3,3.1,3.6,3,41671,7035
9672,888,133,19953,5077,540,108,7.2,6.6,5,4.2,23.1,8.4,22.6,10.1,20.2,11.3,11.1,6.5,3.3,3.5,6.3,5,1.1,1.9,45446,19811
9673,1365,113,25803,1719,880,80,3.9,2.1,6.1,2.4,19.7,4.5,21.4,4.2,22.7,5.5,19.3,4.5,1.5,1,2.7,1.3,2.7,2,38402,3095
9501,629,54,33484,2350,421,54,3.6,2.7,8.3,3.8,9,4,19.5,5.9,27.3,7.8,12.1,4.2,3.1,2.9,8.6,4.5,8.6,3.1,51337,5290
9503,617,69,30516,2782,444,72,5,3.9,5.9,4.3,17.6,6.4,21.8,7.3,16.4,6.5,14.9,6.3,2.7,3.3,9.5,5.4,6.3,4.4,47957,8806
2001,209,96,(X),(X),65,28,0,26,13.8,18.7,18.5,27,33.8,25.3,7.7,9.9,10.8,13,4.6,8.8,0,26,10.8,11.3,42318,13668
2002,904,148,23295,5512,623,127,1.3,2.2,8.8,8.2,23.6,9.1,35.2,9.7,20.4,6.7,5.8,3.5,4.5,4.9,0,3.2,0.5,1.2,31228,3017
2003,2202,325,17863,2546,1156,213,7,6.3,3.9,2.9,30.4,9,24.4,7.8,16.3,6.3,3.1,2.4,2.1,2.3,6.1,4.5,6.7,5.1,38436,6291
2004,1185,139,25267,2331,779,131,2.4,3.1,4.6,3.7,22.2,6.9,25.9,8.8,23.7,7.8,10.5,5.4,1.5,1.4,6,4.3,3,3.1,38819,5438
2005,2922,367,13544,2963,1044,207,3.7,3.9,6.4,3.5,24.5,10.3,14.9,5.3,14.3,6.1,10.9,5.1,2.4,2.1,11.2,4.4,11.6,5.5,52682,11643
2006.01,3485,512,16332,3612,1641,340,2.6,3,13.7,7.2,26.7,8.7,13.6,6.3,26.4,8.5,10.8,9.1,1.8,2,1.5,1.7,2.9,2.7,33356,4030
2006.02,2238,348,24808,4874,1259,251,1,1.1,4.1,3.3,16.9,7.4,26.9,9.4,21.4,8.9,14.5,6.9,3,2.5,1.9,2.3,10.4,6.7,54231,15595
2007,48,56,(X),(X),20,35,0,52,0,52,0,52,0,52,0,52,0,52,90,45.3,0,52,10,45.3,N,N
2008,3827,386,33189,5749,2443,347,3.4,2.5,0.6,0.9,13.9,5.9,18.1,5.9,27.1,8.7,12.5,5.3,7.5,4.5,10,4.3,7,4.4,51409,6411
2009,2244,257,29100,4861,1522,198,2.1,1.8,2.1,1.9,21,6.6,14.9,6.5,25.5,7.4,9.9,4,7.6,4.3,10.2,4,6.8,3.4,49532,6129
2010,3557,449,26511,3566,2067,417,2.2,2,7.4,4.7,23.1,8.6,15.7,7.1,18.9,8.8,20,7.4,5.4,3.8,3.1,3.4,4.3,4.4,49242,14874
2011.01,3416,389,29628,3308,1901,304,0.6,1,1.7,1.9,16.3,7.3,20.9,7.8,21.7,8.5,9,5.8,5.8,4.3,10.5,4.9,13.4,5.6,55645,8009
2011.02,1505,218,26303,9326,815,118,2.7,2.8,1.6,2.5,10.9,8,11.8,5.8,6.5,4.1,19.4,7.3,23.1,9.8,6.9,3.8,17.2,6.4,71011,13186
2012.01,1214,151,13873,2268,533,104,2.4,2.8,16.5,9,21.2,8.2,31.5,10.8,20.5,8.4,5.1,3.3,2.8,3.6,0,3.7,0,3.7,28884,2646
2012.02,4457,719,3225,322,207,129,44.4,16.3,1.9,3.7,7.2,7.5,10.1,12.7,0,9.2,8.2,7.9,0,9.2,18.4,19.4,9.7,13.4,35263,9892
2012.03,3363,548,20475,3931,1570,305,0.9,1.5,1.7,2,22.8,11,25.2,11.2,25.4,10.3,11.8,5.7,0.9,1.6,7.4,4.4,4,4,42247,6256
2013.01,5044,720,22119,4330,3148,514,4,3.1,8,5.6,21.5,10.4,24.6,7,18,5.4,12.5,4.6,3.7,3,2.1,1.9,5.7,4.6,39376,7567
2014.03,3283,321,31483,4477,2193,271,2.5,2,2.6,3,15.6,5.8,16.2,5.6,20.7,5.2,18.2,6,4.5,2.6,13,4.9,6.6,2.4,53675,5658
2014.04,2292,320,25344,7704,1440,300,0.3,0.4,7.1,6.6,19.8,11.8,14.9,8.1,12.2,5.8,13.6,5.9,8.2,3.9,11.7,5.6,12.2,5.9,54789,9295
2014.05,3139,350,41620,6023,2380,335,2,2.2,1.8,2,8.2,3.7,18.1,5.6,19.6,6.4,25.5,7.6,4.1,2.6,10.8,5,9.9,5,57205,6411
2015.05,2959,424,40403,6544,2267,368,0,0.9,8.7,7.9,8.1,4.4,16.1,6.2,16.2,6.1,14.5,5.9,15.8,6.3,2.7,2.6,17.9,5.8,65809,9091
2015.07,4038,367,32293,4253,2710,299,5.5,6.9,8.8,5.2,12.3,5.8,14,7.4,19.3,6.9,13.3,4.8,2.2,1.9,9.5,5,15.1,4.6,71461,11360
2015.08,2035,270,24386,4388,1245,233,2.1,1.7,5.1,3.2,24.1,11.8,18.3,7.6,20.1,6,12.3,6.8,1.7,1.9,6.5,3.5,9.8,4.7,47100,7587
2015.09,1674,169,39337,4889,1070,107,0,1.8,2.4,2.2,6.1,2.8,15.7,5.4,20.1,5.4,17.2,6.6,12.1,6.6,16.7,5.5,9.7,4.2,60903,5618
2015.1,3686,412,43485,12483,2530,260,1.5,1.7,7.6,4.6,2.9,2,8.1,3.6,16.2,5.8,13,4.3,7,3.7,21.2,7.1,22.6,6,77948,8774
2016.02,1620,200,30084,2311,1100,161,1.2,1.8,3.9,2.9,19,6.5,27.9,8.6,24.9,7,14.3,6.8,3.1,3.6,5.7,5.6,0,1.8,37742,3469
2016.03,2052,203,24188,5116,1215,133,0,1.6,8.7,5.6,18.9,7.4,29.5,10.1,28.1,8,7.4,3.6,4.6,3.9,1.5,1.8,1.2,1.9,34854,2776
2016.04,1838,265,25515,3440,1197,200,2.4,2.7,3.5,4.8,20.9,12.7,26.6,12.6,20.8,11.4,13.5,6.4,5.8,5.4,3.2,3.1,3.2,4,37951,5022
2016.07,3109,291,42064,4018,2298,225,0,0.9,2.7,3,6.4,3.3,8.7,3.3,25.2,6.5,12,4.1,12.8,5.3,18.5,5.2,13.7,4.5,65380,5706
2016.09,2448,194,54766,3351,1778,181,0,1.1,1.2,1.4,7.1,3,10.1,4.8,13.3,4.2,18.4,5.8,12.1,5,15,4.4,22.7,5.8,78940,8300
2016.1,2136,191,40586,4474,1529,186,0.3,0.7,2.2,1.9,14.3,7.2,13.7,6.4,19.4,5.8,15.6,6.2,7.3,3.6,12.5,4.5,14.8,5.1,62424,8724
2016.11,1391,246,31677,10969,874,132,6.4,6.9,0,2.3,13,9.2,11.9,5.5,27.8,10.1,21.7,7.3,2.2,2.1,11.2,5,5.7,3.3,48909,6185
2016.12,3147,325,27341,8791,2245,366,2.9,3.4,3.6,4.1,29,11,14.9,5.7,24.5,6.7,7.6,4.8,4.4,3.2,8,4.5,5.2,4.2,41315,5255
2017,1123,108,46964,7715,838,104,1.2,1.3,5.3,3.4,3,2.2,9.1,5.5,23.2,6.9,17.7,6.1,9.1,4,20.5,5.4,11.1,4,70368,9755
2018.01,2409,236,46218,5484,1647,188,0,1.2,2.3,1.9,7.9,4.3,9.7,4.9,18,5.8,14.7,5.8,8.5,3.6,13.5,4.3,25.4,6.4,82804,12111
2018.02,1756,197,37553,3641,1290,155,1.6,2,1.9,1.6,12.7,5.2,14.4,5.8,23.5,6.4,13.5,4,6.4,4.2,12.1,3.8,14,5.5,75122,22690
2019.02,2758,288,29479,6167,1848,255,1.4,1.8,6.5,3.4,18.4,8.4,19.1,6,20.8,6.9,17.7,5.6,8,3.6,6.9,3.1,1.2,1.8,41972,3592
2019.03,1884,201,30585,3838,1401,191,4.1,3.8,3.1,3.7,19.1,9.6,20,7.2,25.4,8,15.8,4.5,2.6,2.3,6.4,3.6,3.4,3,42082,4885
2019.04,2481,199,34023,4340,1823,163,0.2,0.4,3.6,2.2,12.1,5.6,22.3,6,20.6,5,25.4,6.2,6.2,3,6.3,2.6,3.2,2,46029,2776
2020.02,2333,248,31382,5968,1651,234,2.2,2.1,3.3,2.3,19.3,8.1,18.2,7.5,16.1,6.6,19.8,6.4,7,3.5,9,4.7,5.1,2.9,47713,5029
2020.04,1814,253,31600,5059,1190,213,1.3,2,2.4,2.2,17.1,6.4,15.4,7.1,30,7.4,16.9,5.1,12.8,5.4,2.1,2,2.2,2.2,43850,3607
2020.05,3141,439,27818,3320,2072,402,1.7,2.2,1.9,2,20.5,10.1,27.2,7.7,21.8,7.2,12.9,6.5,5.5,3.8,4,3.1,4.5,3.2,41280,4201
2020.06,1958,242,24222,2110,1479,230,4.8,3.9,2.3,2.9,35,7,17,6.1,18.3,6.7,13.4,5.3,3.4,2.7,4.7,3.6,1,1.2,35498,3705
2020.07,2105,189,35066,4432,1352,224,1.6,2.9,3.9,3.2,14.3,5.7,17,6.6,34.8,7.5,13.9,5.1,4.2,3.7,6.4,3.6,3.9,3,47363,8491
2020.08,2686,427,38218,5890,1980,248,2,2.1,2.7,2.6,10.2,4.7,14.7,6.4,19.4,6.5,22.7,6.8,11.2,4.5,9.2,3.6,7.9,4.2,55459,5654
2021.02,1258,181,24486,2845,869,158,0,2.3,11,8.3,20.7,8.7,29,9.8,18.4,10,12.7,6.1,5.8,5.1,1,1.7,1.4,2.1,34616,3122
2021.04,1409,170,26396,6837,857,123,0.6,1,10,8,9.2,5.1,19.6,5.8,20.8,7.9,21,8,6,4,6.2,4,6.7,3.9,48024,6643
